job_number,job_scope,job_status_at_dwr_create,date,dwrNumber,jobNumber,dwrBillingType,additionalFields,labour.name,labour.unit,labour.quantity,timeCard.description
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-29,231129-021,24002,DWR.TM,[],Estimating,HR,0.75,Estimate setup
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-30,231130-014,24002,DWR.TM,[],Estimating,HR,0.5,Edit and update the proposal doc.
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-29,231130-020,24002,DWR.TM,[],Estimating,HR,3.5,"Review request from Ram Osama, Communications back and forth, preparing Excel numbers, add extra for winter conditions, submitting Thursday."
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-12-01,231204-025,24002,DWR.TM,[],Estimating,HR,3,"Back and forth with Osama over survey request, discussions with David, submit estimate to client."
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-12-04,231204-033,24002,DWR.TM,[],Estimating,HR,0.5,follow up on estimate
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-29,231206-023,24002,DWR.TM,[],Estimating,HR,0.75,"answering some of KL questions, and understanding the schedule to make it possible for drone to be transferred "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-01-22,240122-034,24002,DWR.TM,[],Administrator,HR,0.5,Project Conversion
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-03-31,240401-050,24002,DWR.TM,[],Survey Technologist,HR,1,AB-Meet with KL to drop X7
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-01,240403-022,24002,DWR.TM,[],Survey Technician,HR,11,"Travel from Nanaimo to site, complete safety tools, setup and begin collecting static, set control, lay out and set UAV ground control points, tear down, complete and submit notes, sketch and data, travel onto Merritt. "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-02,240403-023,24002,DWR.TM,[],Survey Technician,HR,8.5,"Travel to site, complete safety tools, complete three LiDAR missions, tie TOPO, tear down, complete and submit notes, sketch and data, return to Merritt. "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-01,240404-006,24002,DWR.TM,[],Survey Technician,HR,12,"Travel to site, safety papers with Xavier, set control points, scanning bridge deck and below, travel to office."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-03,240404-007,24002,DWR.TM,[],Survey Technologist,HR,11.5,"(KL)Travel to site, line locating for electrical and fibre optic, travel to office."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-03,240404-016,24002,DWR.TM,[],Survey Technician,HR,12.75,"Travel to site, complete safety tools, setup, collect remaining topo, conventional ties to control, tie Locates, tie scan targets, collect GCPs, collect equipment, complete and submit notes, sketch and data, return to Nanaimo. "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-04,240405-001,24002,DWR.TM,[],Project Manager,HR,4,"(KL)Reviewing all data from field ie: lidar, photos uploaded, scan data, gps, scanned control points, and timesheets and expenses"
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-05,240405-016,24002,DWR.TM,[],Data Processing,HR,1.25,"Refine registration, Export and Upload data."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-05,240405-024,24002,DWR.TM,[],Data Processing,HR,0.5,AT - Ortho conversion to ECW.
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-05,240407-002,24002,DWR.TM,[],Data Processing,HR,3.5,LiDAR data processing
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-03,240408-008,24002,DWR.TM,[],Data Processing,HR,1,PROCESSING XS FIELD DATA FROM 03/02
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-04,240408-013,24002,DWR.TM,[],Data Processing,HR,1,PROCESSING XS FIELD DATA FROM 03/03
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-01,240410-010,24002,DWR.TM,[],Data Processing,HR,1.75,Static data processing of the job as per KL --- MA
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-10,240415-007,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,6,EXTRACTING PAINTLINES/BARRIERS FROM LIDAR/SCAN DATA.  DRAFTING ON SURVBASE.
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-11,240415-009,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,1,"DRAFTING ON SURVBASE, CREATING ALL MOTI PACKAGE ELEMENTS."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-12,240415-010,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,5,"DRAFTING ON SURVBASE, CREATING ALL MOTI PACKAGE ELEMENTS."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-08,240415-015,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,3,LiDAR data processing
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-16,240416-002,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Project Manager,HR,2,Review plan before delivery and DWRs
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-15,240422-007,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,2,"FINAL MARKUPS AND DWG PACKAGE CREATION, PDF CREATION, QA CHECKLIST"
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-16,240422-008,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Drafting,HR,2,"ADDING MISSED LIGHT STANDARD ON BRIDGE, UPDATING ALL MOTI PACKAGE DWGS, CREATING NEW DWG PACKAGE, PDFS"
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-15,240422-018,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",CAD Manager,HR,1,review and discuss with CS
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-16,240424-005,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,0.75,"lidar QC notice missing lamp standard, reach out to KL and CS to add"
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-10,240424-021,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,1.5,geo referencing the RealWorks project of drygultch as per CS request with the scan data--- MA
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-11,240424-023,24002,DWR.TM,"[{""name"": ""SCOPE"", ""value"": ""Travel to site, site inspection and safety forms completed, set control with GNSS Static, Topographic Survey, Underground Utility Survey, Two drone / LiDAR flights to capture C/L Barriers and paintlines. Travel to office, download, drafting, check PE2N, delivery.""}]",Data Processing,HR,1,"RCP data added to the cad file as per CS request, 
QC of RCP data -----MA"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
